ID, Course ID, Hole number, Par, Distance
1,1,1,3,107
2,1,2,3,127
3,1,3,3,107
4,1,4,3,49
5,1,5,3,97
6,1,6,3,100
7,1,7,3,62
8,1,8,3,90
9,1,9,4,172
10,1,10,3,100
11,1,11,4, 165
12,1,12,3,80
13,1,13,3,89
14,1,14,3,76
15,1,15,4,140
16,1,16,3,107
17,1,17,4,183
18,1,18,3,164
19,2,1,3,92
20,2,2,4,158
21,2,3,3,95
22,2,4,3,80
23,2,5,3,90
24,2,6,3,94
25,2,7,4,141
26,2,8,3,98
27,2,9,4,138
28,2,10,3,90
29,2,11,4,116
30,2,12,3,90
31,2,13,4,154
32,2,14,4,138
33,2,15,4,177
34,2,16,3,91
35,2,17,5,251
36,2,18,3,98
